order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Supplier Name,Supplier Email,Delivery Status,Stock Left,Auto Reorder,Reorder Quantity
ORD1022,2025-03-18,2025-03-22,CUST175,Bryan Brown,Consumer,PROD4001,Dining Table,Furniture,North,Illinois,Robinsonfurt,9,784,0,793.0,484.95,308.05,Net Banking,Nichols Inc,martinezthomas@fisher.com,Cancelled,26,No,0
ORD1023,2025-03-25,2025-03-31,CUST931,Scott Cooper,Consumer,PROD3140,Juice Pack,Grocery,South,Illinois,Lake Shannonberg,2,2755,5,2619.25,1829.31,789.94,Credit Card,Davis Inc,tlogan@white-york.com,Returned,15,No,0
ORD1024,2024-11-12,2024-11-13,CUST999,Sarah Fox,Home Office,PROD5292,Headphones,Electronics,North,Massachusetts,Lake Brian,3,1706,15,1453.1,1206.26,246.84,Net Banking,Morton-Miranda,julie03@hernandez.org,Deivered,41,No,0
ORD1025,2025-04-19,2025-04-21,CUST431,Kari Morrison,Home Office,PROD9843,Juice Pack,Grocery,East,New York,Flynnton,8,3542,0,3550.0,2464.81,1085.19,Net Banking,"Weaver, Esparza and Bauer",michael13@ferguson-kelly.org,Returned,25,No,0
ORD1026,2024-07-10,2024-07-13,CUST573,Lisa Arias,Corporate,PROD7092,Mouse,Electronics,South,Utah,New Brandonshire,9,104,0,113.0,83.27,29.73,UPI,Riley PLC,samuelgonzalez@gomez.com,Cancelled,2,Yes,39
ORD1027,2024-09-21,2024-09-28,CUST358,Michael Allen,Home Office,PROD9576,Monitor,Electronics,North,Oklahoma,Michelleport,6,3204,20,2569.2,1790.91,778.29,Net Banking,Steele-Bailey,davidking@king-lee.com,Pending,18,No,0
ORD1028,2025-11-26,2025-11-29,CUST982,Charles Martinez,Home Office,PROD3103,Study Tale,Furniture,West,Oklahoma,Holmeschester,5,4685,5,4455.75,3828.64,627.11,Credit Card,Tran LLC,mendezlisa@barry.com,Pending,50,No,0
ORD1029,2025-06-04,2025-06-06,CUST833,Ashley Martin,Corporate,PROD3095,Dining Table,Furniture,North,Oklahoma,East Paul,4,2795,15,2379.75,2083.0,296.75,UPI,Perez-Williams,amitchell@miles.com,Returned,48,No,0
ORD1030,2025-03-28,2025-04-01,CUST899,Jeffrey Haley,Corporate,PROD2405,File Folder,Office Supplies,North,Vermont,North Charles,6,4987,0,4993.0,4220.13,772.87,Cash,"Rojas, Jenkins and White",dannyjones@watts.info,Deivered,30,No,0
ORD1031,2025-01-27,2025-01-31,CUST556,Jordan Marsh,Corporate,PROD5366,Cooking Oil,Grocery,West,Michigan,Michaelburgh,3,4841,10,4359.9,2670.35,1689.55,Net Banking,"Price, Brown and Matthews",timprice@williams.org,Pending,29,No,0
ORD1032,2025-06-17,2025-06-23,CUST143,Matthew Lara,Consumer,PROD9012,Sugar,Grocery,East,Kansas,Mitchellville,6,106,0,112.0,84.24,27.76,Cash,"Russell, Li and Allen",tperez@huffman.net,Pending,23,No,0
ORD1033,2025-05-09,2025-05-14,CUST976,Amanda Mathews,Consumer,PROD4292,Monitor,Electronics,North,South Carolina,Loganton,7,1863,10,1683.7,1167.03,516.67,Credit Card,Nolan Inc,wwoods@chase.com,Returned,31,No,0
ORD1034,2024-06-16,2024-06-20,CUST517,Nichole King,Corporate,PROD2493,Calculator,Office Supplies,East,New Mexico,North Zachary,1,1839,15,1564.15,1349.09,215.06,Net Banking,Bennett-Sullivan,jacksonapril@carter.com,Deivered,21,No,0
ORD1035,2025-03-06,2025-03-07,CUST911,Tamara Young,Home Office,PROD2810,Snacks,Grocery,East,New York,South Charlesmouth,9,2709,15,2311.65,1469.59,842.06,Cash,Raymond-Davis,frocha@ramirez.info,Deivered,34,No,0
ORD1036,2025-03-10,2025-03-13,CUST118,Cheryl Thompson,Corporate,PROD9202,Bookshelf,Furniture,North,Illinois,Lake John,3,1206,10,1088.4,694.28,394.12,UPI,Acevedo LLC,sandramitchell@mitchell.com,Cancelled,31,No,0
ORD1037,2026-02-03,2026-02-04,CUST130,Michelle Miller,Corporate,PROD1341,Office Chair,Furniture,East,Maine,Mauricechester,7,3268,20,2621.4,1739.81,881.59,Cash,Williams-Palmer,gperez@bell.com,Cancelled,25,No,0
ORD1038,2024-09-04,2024-09-11,CUST361,Deanna Fuentes,Home Office,PROD1112,Headphones,Electronics,West,Oklahoma,Marissamouth,3,4184,10,3768.6,2448.58,1320.02,UPI,"Ferguson, Carter and Ayers",westkimberly@ramirez.com,Returned,20,No,0
ORD1039,2025-05-04,2025-05-11,CUST487,Rachel Nelson,Corporate,PROD4437,Bookshelf,Furniture,West,Missouri,South Aaron,2,1509,10,1360.1,916.2,443.9,UPI,Maldonado-Gordon,danielleorozco@welch.biz,Cancelled,41,No,0
ORD1040,2024-07-07,2024-07-12,CUST678,Rose Clark,Consumer,PROD1694,Sugar,Grocery,North,Mississippi,Derrickside,1,1344,5,1277.8,996.45,281.35,Credit Card,Hogan-Stanley,holdennichole@erickson-white.org,Returned,36,No,0
ORD1041,2025-05-02,2025-05-09,CUST917,Lisa Hill,Corporate,PROD3598,Laptop,Electronics,West,Montana,Williamsborough,2,3497,10,3149.3,2417.29,732.01,Credit Card,"Tran, Castillo and Barry",erica72@davis-smith.com,Returned,40,No,0
ORD1042,2024-12-15,2024-12-16,CUST450,Cory Jones,Corporate,PROD3891,Cooking Oil,Grocery,North,Pennsylvania,Isaacmouth,7,692,5,664.4,447.24,217.16,UPI,Martin-Spencer,manueladkins@ward-smith.org,Deivered,42,No,0
ORD1043,2024-04-30,2024-05-04,CUST120,Scott Davis,Corporate,PROD7129,Snacks,Grocery,South,Illinois,Johnsonchester,6,2779,5,2646.05,2059.65,586.4,UPI,White-Robertson,respinoza@chang.com,Deivered,28,No,0
ORD1044,2025-08-28,2025-09-01,CUST338,Jeanne Howard,Home Office,PROD2638,Mouse,Electronics,South,Maryland,Grayborough,5,2196,10,1981.4,1671.35,310.05,Net Banking,Burton Ltd,melissa42@gilmore.com,Deivered,25,No,0
ORD1045,2025-06-02,2025-06-07,CUST174,Jessica Hudson,Corporate,PROD2452,Monitor,Electronics,North,Texas,Janicebury,10,4958,20,3976.4,3017.57,958.83,Credit Card,"Patel, Larson and Fry",eglass@clark.info,Deivered,31,No,0
ORD1046,2026-01-28,2026-02-04,CUST434,Philip Evans,Consumer,PROD7115,Office Chair,Furniture,East,Idaho,Port Erin,4,290,5,279.5,175.98,103.52,Credit Card,"Payne, Green and Gallegos",stephensonmatthew@craig.biz,Cancelled,26,No,0
ORD1047,2024-03-10,2024-03-14,CUST322,Jennifer Lewis,Corporate,PROD6202,Office Chair,Furniture,South,Minnesota,South Helenberg,4,1818,20,1458.4,961.98,496.42,Cash,Marquez PLC,leealexandria@crosby.com,Returned,37,No,0
ORD1048,2024-10-11,2024-10-17,CUST971,Nicholas Torres,Home Office,PROD2705,Juice Pack,Grocery,West,Alabama,South Sarahtown,10,3165,20,2542.0,1668.27,873.73,UPI,White Inc,angela13@willis.com,Pending,14,No,0
ORD1049,2025-05-26,2025-06-02,CUST889,Pamela Gray,Corporate,PROD5646,Monitor,Electronics,North,Vermont,Robersontown,7,2233,15,1905.05,1693.17,211.88,Net Banking,Howard and Sons,donna24@franklin.net,Deivered,1,Yes,22
ORD1050,2025-02-01,2025-02-05,CUST760,Kimberly Flores,Corporate,PROD7905,Laptop,Electronics,East,Georgia,New Dominiquefort,8,250,0,258.0,224.18,33.82,UPI,"Whitehead, Navarro and Casey",janet07@carter.biz,Pending,35,No,0
ORD1051,2025-07-01,2025-07-03,CUST278,Linda Nguyen,Consumer,PROD2716,Sofa,Furniture,East,Kentucky,New Rebecca,10,2195,5,2095.25,1541.99,553.26,UPI,"Martinez, Shaffer and Johnson",michael38@perez.com,Returned,8,Yes,36
ORD1052,2024-05-30,2024-06-06,CUST422,Yesenia Johnson,Corporate,PROD1939,Mouse,Electronics,East,Washington,West Benjaminmouth,1,1023,20,819.4,538.63,280.77,Credit Card,"Carpenter, Page and Douglas",annette66@summers-bell.com,Returned,14,No,0
ORD1053,2024-03-03,2024-03-08,CUST505,Megan Floyd,Home Office,PROD4532,Cooking Oil,Grocery,South,Maryland,Port Jessicabury,9,927,15,796.95,539.41,257.54,UPI,Mckay-Smith,donald03@reynolds-moreno.org,Pending,0,Yes,35
ORD1054,2026-01-13,2026-01-15,CUST393,Susan Lawson,Home Office,PROD3580,Dining Table,Furniture,North,Hawaii,South Nicoleville,10,3203,5,3052.85,2020.9,1031.95,Net Banking,"Owen, Farrell and Copeland",brianodonnell@molina.com,Cancelled,9,Yes,44
ORD1055,2024-12-03,2024-12-10,CUST930,Jill Walker,Consumer,PROD6772,Sofa,Furniture,West,Iowa,Lake Markview,3,661,10,597.9,417.53,180.37,Cash,"Brown, Bennett and Williams",andrewlang@marsh-martinez.com,Returned,42,No,0
ORD1056,2024-12-31,2025-01-03,CUST834,Maria Moyer,Corporate,PROD6896,Keyboard,Electronics,South,New York,Carrieport,1,1929,15,1640.65,1134.16,506.49,Credit Card,Knight LLC,mariaanderson@west.com,Returned,31,No,0
ORD1057,2025-08-15,2025-08-21,CUST477,Paula Gardner,Corporate,PROD3601,Juice Pack,Grocery,South,Connecticut,North Jacobmouth,10,3101,15,2645.85,1997.62,648.23,Cash,"Soto, Mcdaniel and Buchanan",elizabethpetersen@gonzales-hamilton.info,Returned,8,Yes,27
ORD1058,2024-12-09,2024-12-14,CUST970,Sean Schwartz,Corporate,PROD3796,Bookshelf,Furniture,North,Utah,Hillchester,10,2370,5,2261.5,1453.1,808.4,Cash,"Johnson, Brooks and Shea",obennett@hooper.com,Cancelled,31,No,0
ORD1059,2025-03-23,2025-03-28,CUST539,Eric Mcguire,Corporate,PROD3957,Laptop,Electronics,South,Washington,Connerhaven,6,1739,10,1571.1,1379.41,191.69,Net Banking,Warren-Crane,abarton@peterson.com,Returned,1,Yes,25
ORD1060,2024-04-29,2024-05-04,CUST945,Norman Williams,Home Office,PROD4339,Stapler,Office Supplies,North,Connecticut,New Tanner,7,3490,20,2799.0,1830.47,968.53,UPI,"Weaver, Dixon and Wheeler",gloria77@chang.com,Deivered,18,No,0
ORD1061,2025-06-28,2025-07-02,CUST707,Alexis Mendoza,Corporate,PROD4415,Mouse,Electronics,West,Delaware,Lake Jenniferton,2,1019,0,1021.0,887.76,133.24,Net Banking,Bush-Thomas,kristijohnson@lyons-thornton.com,Deivered,10,No,0
ORD1062,2024-11-09,2024-11-15,CUST105,Steven Clark,Consumer,PROD9210,Sugar,Grocery,North,Illinois,Dustinland,3,2793,15,2377.05,2031.04,346.01,UPI,Davis-Sanders,greyes@montoya.com,Pending,6,Yes,47
ORD1063,2025-11-01,2025-11-03,CUST890,Christina Perry,Home Office,PROD6084,Headphones,Electronics,North,North Dakota,North Francisco,3,2287,15,1946.95,1689.27,257.68,Credit Card,Meyer-Stevenson,wendychan@montoya.com,Cancelled,15,No,0
ORD1064,2025-07-30,2025-08-03,CUST314,Lauren Brown,Corporate,PROD1106,Juice Pack,Grocery,East,Virginia,New Brandonshire,8,653,15,563.05,465.86,97.19,UPI,Taylor PLC,diana65@stone.com,Deivered,47,No,0
ORD1065,2026-01-16,2026-01-21,CUST201,Jason Rhodes,Consumer,PROD5026,Snacks,Grocery,North,Nevada,Michaelhaven,3,2248,20,1801.4,1247.75,553.65,Credit Card,Gonzalez and Sons,greenheidi@moss-lane.net,Returned,28,No,0
ORD1066,2024-11-07,2024-11-10,CUST601,James Holmes,Corporate,PROD1034,Keyboard,Electronics,South,Maine,South Antoniochester,8,293,15,257.05,169.39,87.66,Net Banking,Hopkins-Roy,ypatel@bennett-mcclure.com,Pending,50,No,0
ORD1067,2025-02-18,2025-02-19,CUST283,Darrell Price,Consumer,PROD8701,Monitor,Electronics,West,California,Velezfurt,5,4456,5,4238.2,3170.75,1067.45,Credit Card,"Munoz, Parks and Parker",danielsmith@lawrence-hayes.info,Deivered,4,Yes,22
ORD1068,2024-12-28,2024-12-31,CUST122,Marcus Brown,Home Office,PROD9568,Laptop,Electronics,North,South Dakota,Danielport,1,4407,20,3526.6,2297.71,1228.89,Cash,Hudson LLC,wcase@sexton-morton.org,Deivered,41,No,0
ORD1069,2026-02-17,2026-02-19,CUST830,Rebecca Lowery,Corporate,PROD5362,Dining Table,Furniture,North,Georgia,East Jodi,9,2250,10,2034.0,1785.12,248.88,UPI,Smith-Smith,nguyenmark@matthews.biz,Pending,4,Yes,29
ORD1070,2025-04-02,2025-04-08,CUST731,Victor Woods,Corporate,PROD5153,Rice Bag,Grocery,South,Hawaii,West Markfurt,6,1117,0,1123.0,979.64,143.36,Cash,Smith-Walker,dawnnovak@nguyen.com,Deivered,43,No,0
ORD1071,2025-06-21,2025-06-23,CUST511,Kelly Perez MD,Corporate,PROD5339,Juice Pack,Grocery,South,North Carolina,Lake Cassandra,9,3472,10,3133.8,1888.26,1245.54,Cash,Wilson Ltd,jhoover@davis-browning.com,Deivered,46,No,0
ORD1072,2025-08-19,2025-08-20,CUST290,Justin Perry,Home Office,PROD1061,Notebook,Office Supplies,South,Arkansas,West Dariusview,4,4822,0,4826.0,4048.22,777.78,Cash,Moreno-Bell,brownsamuel@james-barry.com,Returned,49,No,0
ORD1073,2024-05-01,2024-05-04,CUST209,Brandon Stone,Corporate,PROD2823,Bookshelf,Furniture,West,Pennsylvania,New Annfort,10,664,20,541.2,408.49,132.71,Credit Card,Bradford-Parker,leemelissa@french.net,Deivered,32,No,0
ORD1074,2024-08-06,2024-08-12,CUST106,Phillip Hill,Corporate,PROD3120,Snacks,Grocery,West,Alaska,Lake Tyrone,7,3461,15,2948.85,2306.13,642.72,Credit Card,"Willis, Delgado and Collins",laura17@lewis.com,Cancelled,32,No,0
ORD1075,2024-08-06,2024-08-08,CUST842,Donald Archer,Home Office,PROD3688,Pen,Office Supplies,East,Wyoming,Lisaland,6,2331,15,1987.35,1431.67,555.68,UPI,"Fuller, Raymond and Ross",iglenn@thomas.com,Cancelled,7,Yes,45
ORD1076,2025-01-15,2025-01-17,CUST486,Michael Brown,Consumer,PROD9340,Stapler,Office Supplies,West,North Carolina,Codyfort,1,3163,15,2689.55,1822.94,866.61,Cash,"Davis, Walsh and Thompson",psexton@warren.com,Cancelled,27,No,0
ORD1077,2025-01-07,2025-01-14,CUST482,Tiffany Vasquez,Consumer,PROD1592,Sugar,Grocery,South,Virginia,Port Aaron,1,3905,20,3125.0,2318.1,806.9,Cash,Smith Inc,ryan16@vaughn.info,Returned,10,No,0
ORD1078,2026-01-17,2026-01-20,CUST968,Rachel Houston,Corporate,PROD8252,Bookshelf,Furniture,North,Ohio,Lisamouth,3,1391,5,1324.45,1053.13,271.32,Credit Card,Gardner-Flores,powellamber@acosta.com,Returned,8,Yes,31
ORD1079,2026-01-13,2026-01-18,CUST266,Morgan Acevedo,Corporate,PROD4275,Office Chair,Furniture,East,Arizona,Port Paulview,5,4079,15,3472.15,3074.83,397.32,Net Banking,Garcia and Sons,daughertymary@stevens.com,Pending,36,No,0
ORD1080,2025-02-15,2025-02-16,CUST957,William Chan,Consumer,PROD4229,Calculator,Office Supplies,North,Iowa,North Kathleen,6,3166,5,3013.7,2326.99,686.71,UPI,Thompson Inc,karen47@nelson-gonzalez.com,Returned,41,No,0
ORD1081,2025-06-22,2025-06-27,CUST936,Gina Turner,Home Office,PROD1490,Juice Pack,Grocery,West,Washington,Mirandaberg,2,2599,0,2601.0,2275.54,325.46,Cash,Schroeder Group,qjohnson@riley-ray.com,Deivered,33,No,0
ORD1082,2024-11-21,2024-11-26,CUST186,Donald Stone,Corporate,PROD8118,Bookshelf,Furniture,South,Washington,New Thomas,9,4136,20,3317.8,2065.42,1252.38,Cash,"Stevenson, David and Rogers",samantha61@hooper-wagner.com,Pending,30,No,0
ORD1083,2025-11-04,2025-11-11,CUST487,Garrett Payne,Consumer,PROD5134,Rice Bag,Grocery,East,Ohio,Shieldsburgh,4,4322,10,3893.8,2707.52,1186.28,Credit Card,"Lopez, Bailey and Davis",ahickman@miller-maxwell.com,Pending,6,Yes,46
ORD1084,2024-03-21,2024-03-28,CUST656,Denise Contreras,Corporate,PROD7150,File Folder,Office Supplies,South,Mississippi,Robertomouth,4,735,10,665.5,524.37,141.13,Credit Card,"Fisher, Farrell and Wells",andersondarlene@jefferson.info,Pending,5,Yes,35
ORD1085,2025-06-30,2025-07-01,CUST809,Jesus Edwards,Corporate,PROD6471,File Folder,Office Supplies,North,California,West Michealshire,5,2715,15,2312.75,1694.62,618.13,UPI,Cummings-Foster,stonepatrick@garcia.com,Cancelled,39,No,0
ORD1086,2024-09-15,2024-09-17,CUST655,Nathan Clayton,Home Office,PROD5634,Cooking Oil,Grocery,West,Pennsylvania,North Stephen,10,2136,5,2039.2,1607.35,431.85,UPI,"Vance, Higgins and Reeves",priceemily@rivers-mason.com,Returned,37,No,0
ORD1087,2025-01-06,2025-01-12,CUST758,Jorge Gordon,Home Office,PROD9161,Snacks,Grocery,West,Florida,Port Guybury,10,4818,10,4346.2,3708.28,637.92,Cash,Marquez and Sons,annettecox@cantu-ponce.com,Cancelled,19,No,0
ORD1088,2025-09-13,2025-09-19,CUST648,Lauren Mayer,Consumer,PROD1067,Keyboard,Electronics,North,North Carolina,Olivermouth,2,239,20,193.2,160.1,33.1,Net Banking,Martin Ltd,rnelson@mack-becker.org,Returned,42,No,0
ORD1089,2025-10-08,2025-10-14,CUST423,Derrick Diaz,Home Office,PROD9149,Keyboard,Electronics,North,West Virginia,Laneview,2,3251,20,2602.8,1901.53,701.27,UPI,Brown-Cook,olsonthomas@skinner-ray.info,Deivered,17,No,0
ORD1090,2025-12-18,2025-12-22,CUST709,Stephanie Williams,Home Office,PROD5933,Keyboard,Electronics,East,South Carolina,Dianeburgh,3,2644,0,2647.0,2361.68,285.32,Net Banking,"Carrillo, Estrada and Arellano",ajohnson@west-anderson.biz,Cancelled,11,No,0
ORD1091,2025-03-20,2025-03-26,CUST592,Joseph Dorsey,Home Office,PROD8498,Laptop,Electronics,West,Illinois,Doughertychester,8,4429,10,3994.1,2491.52,1502.58,Cash,Nichols-Morrow,leslie61@tanner.org,Pending,11,No,0
ORD1092,2024-11-21,2024-11-23,CUST802,Jason Romero,Consumer,PROD7781,Study Tale,Furniture,South,Illinois,East Duane,7,3180,0,3187.0,2835.89,351.11,Net Banking,"Brown, Grant and Chapman",fwatson@garcia.com,Returned,48,No,0
ORD1093,2024-10-02,2024-10-06,CUST830,John Weber,Consumer,PROD6434,Notebook,Office Supplies,West,Washington,North Jessicaton,8,2067,10,1868.3,1666.11,202.19,Net Banking,"Reed, Walter and Walton",gregoryhenderson@hahn-stafford.org,Deivered,12,No,0
ORD1094,2026-01-18,2026-01-19,CUST743,Ethan Wood,Home Office,PROD8083,Office Chair,Furniture,West,Nevada,New Paul,6,3711,20,2974.8,2576.81,397.99,Net Banking,Allen Ltd,ismith@cantrell.org,Pending,29,No,0
ORD1095,2025-05-24,2025-05-27,CUST833,Andrew Luna,Home Office,PROD7977,Notebook,Office Supplies,North,New Hampshire,Rhondaview,2,399,10,361.1,234.8,126.3,UPI,"Martinez, Potts and Jordan",mariawilliams@smith.com,Returned,44,No,0
ORD1096,2024-06-06,2024-06-10,CUST197,Daniel Castillo,Corporate,PROD9309,Pen,Office Supplies,East,Florida,Cantuton,3,2291,10,2064.9,1857.88,207.02,Credit Card,"Fry, Peterson and Duncan",marc80@gibson-kelley.com,Returned,1,Yes,45
ORD1097,2024-09-23,2024-09-29,CUST995,Cheryl Brown,Corporate,PROD7470,Keyboard,Electronics,East,Alabama,Espinozaport,8,4563,20,3658.4,2595.52,1062.88,Cash,Kennedy-Moss,lauren97@burke-hines.org,Pending,35,No,0
ORD1098,2024-07-29,2024-07-30,CUST945,Amy Cooper MD,Home Office,PROD5349,Monitor,Electronics,North,Florida,South Lauramouth,10,3615,15,3082.75,2460.89,621.86,UPI,"Hendricks, Lawson and Garcia",joshua12@pena.com,Pending,14,No,0
ORD1099,2024-11-11,2024-11-15,CUST330,Hector Burton,Consumer,PROD6843,Keyboard,Electronics,West,Vermont,Sonyaberg,5,2508,0,2513.0,1623.9,889.1,Credit Card,"Keller, Lewis and Cohen",caitlin80@murphy.com,Cancelled,23,No,0
ORD1100,2024-05-24,2024-05-26,CUST707,Emily Lewis,Corporate,PROD7303,Study Tale,Furniture,East,Arizona,Guzmanfurt,7,4355,15,3708.75,3224.14,484.61,Net Banking,"Hernandez, Bradford and Ortega",hfernandez@williams-mccullough.com,Pending,19,No,0
ORD1101,2024-02-28,2024-03-04,CUST177,Amber Miller,Home Office,PROD5201,Pen,Office Supplies,East,Rhode Island,Danielleland,1,4317,20,3454.6,2228.9,1225.7,Cash,Wolfe-Adams,dennisanderson@mckinney.com,Deivered,1,Yes,48
ORD1102,2025-03-31,2025-04-05,CUST480,David Escobar,Consumer,PROD6564,Juice Pack,Grocery,North,Louisiana,Simmonston,4,2237,5,2129.15,1915.03,214.12,UPI,Galvan PLC,williamross@miller.net,Returned,40,No,0
ORD1103,2025-12-27,2026-01-03,CUST696,Phillip Jackson,Corporate,PROD9718,Snacks,Grocery,East,Wyoming,Fischerside,3,2312,5,2199.4,1955.79,243.61,Cash,Kirk Ltd,vchambers@ayers.com,Deivered,15,No,0
ORD1104,2026-01-09,2026-01-14,CUST216,David Smith,Consumer,PROD5855,Dining Table,Furniture,South,Pennsylvania,East Julie,2,4752,10,4278.8,3073.6,1205.2,UPI,"Douglas, Jones and Owens",coleveronica@allen-weber.com,Returned,42,No,0
